,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
133,77,2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,50000,0,North America,2,2011-06-15
134,78,21Cake Food Co.,Delivery|Hospitality|Manufacturing,1464128,1,Asia,1,2004-01-01
135,79,21Diamonds,E-Commerce,6369507,1,Asia,1,2012-06-01
136,80,21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,121050000,1,North America,2,2013-05-01
139,81,21viaNet,Software|Web Hosting,396000000,2,Asia,5,2009-10-16
140,82,22nd Century Group,Biotechnology,15034750,2,North America,6,1998-01-01
141,83,22seeds,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,250000,0,Asia,1,2010-01-01
142,84,2345.com,Software,1610541,1,Asia,2,2005-09-01
143,85,2359 Media,Mobile,615000,1,Asia,1,2009-02-01
144,86,23andMe,Biotechnology|Search,227049900,1,North America,8,2006-04-01
145,87,23press,Blogging Platforms|Software,50000,1,North America,1,2011-06-01
151,88,24x7 Learning,EdTech|Education|Systems,4000000,1,Asia,1,2001-01-01
153,89,248 SolidState,Computers|Software|Technology,500000,1,North America,1,2007-01-01
155,90,24Fundraiser.com,Non Profit|Social Fundraising,400000,1,North America,1,2007-08-01
157,91,24i,Internet,2000000,1,Europe,1,2009-01-01
158,92,24M Technologies,Clean Technology,16000000,1,North America,1,2010-01-01
161,93,24PageBooks,Software,50000,0,North America,1,2010-01-01
162,94,24Symbols,Software|Textbooks,2942768,1,Europe,3,2010-08-07
164,95,250ok,Software,300000,1,North America,2,2012-01-01
166,96,265 Network,Software,2000000,1,Asia,1,2004-01-01
168,97,27 Perry,E-Commerce|Finance|Marketplaces,118000,0,North America,1,2012-07-25
170,98,28msec,Cloud Computing|Databases|Software|Web Development,5844811,1,North America,1,2008-01-01
174,99,2C2P,E-Commerce|Mobile Commerce|Payments|Software,10000000,1,Asia,3,2003-01-01
175,100,2can,Credit Cards|Mobile,8300000,1,Europe,3,2012-04-12
176,101,2Catalyze,Software,6785876,1,North America,1,2008-01-01
177,102,2Checkout,E-Commerce,72000000,1,North America,2,1999-01-01
179,103,2CRisk,Software,383000,1,Oceania,2,2010-07-01
181,104,2degreesmobile,Mobile,165000000,1,Oceania,1,2009-01-01
184,105,2GO Mobile Solutions,Software,275000,1,North America,1,2008-01-01
185,106,2heuresavant,Discounts|Entertainment|Internet|Ticketing,33457,1,Europe,1,2010-01-01
186,107,2houses,Curated Web,966728,1,Europe,2,2011-05-01
187,108,2lemetry,Internet of Things|M2M|Software,4000000,1,North America,1,2011-09-01
189,109,2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000,1,North America,2,2012-01-01
192,110,"2nd Story Software, Inc.",Software,85000000,1,North America,1,1998-02-15
193,111,2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,37644420,1,North America,4,2010-01-01
194,112,2NDNATURE,Landscaping|Natural Resources,20000,1,North America,1,2004-01-01
195,113,2Nite2Nite.net,Advertising|Media,6000,1,North America,1,2013-09-13
196,114,2pm Technologies,SaaS|Technology|Telecommunications,3167062,0,Europe,1,1999-11-23
197,115,2RedBeans,Curated Web|Online Dating|Social Network Media,2300000,1,North America,1,2010-08-01
200,116,2threads,Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media,300000,1,Oceania,2,2004-05-01
201,117,2U Inc.,EdTech|Education|Software,95875000,2,North America,6,2008-01-01
202,118,2Vancouver,E-Commerce|Navigation|Tourism,80000,1,North America,1,2012-01-25
210,119,3-V Biosciences,Biotechnology,128477567,1,North America,7,2007-03-01
211,120,30 Second Showcase,Apps|Creative|Design|Finance|Mobile|Photography|Software,25000,1,North America,1,2013-04-01
214,121,312 Capital,Finance|FinTech,500000,1,North America,1,2013-01-23
215,122,31Dover,E-Commerce|Wine And Spirits,2274716,1,Europe,1,2012-07-01
218,123,33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,25654560,1,North America,5,2007-09-01
219,124,33Coupons,Internet,20000,1,Asia,1,2015-05-01
222,125,"360fly, Inc.",Consumer Electronics|Software,17800000,1,North America,1,1998-01-01
223,126,360Guanxi,Biotechnology|Life Sciences|Media|News|Pharmaceuticals,5000000,1,Asia,1,2000-01-01
224,127,360imaging,Biotechnology|Dental,1000000,1,North America,2,2005-01-01
225,128,360incentives.com,Software,7650000,1,North America,1,2008-01-01
226,129,360Learning,Communities|Corporate Training|Education,1543920,1,Europe,1,2010-01-01
230,130,365 Data Centers,Data Centers|Information Technology|Internet|Services,16000000,1,North America,1,2012-01-01
234,131,365looks,Artificial Intelligence|Fashion|Technology,609229,1,Europe,4,2011-12-12
235,132,365Scores,Android|Apps|iPhone|Mobile|Sports,6700000,1,Europe,2,2008-01-01
237,133,36Kr,Blogging Platforms|Internet|Public Relations|Social Media|Startups,1573976,1,Asia,3,1999-01-01
238,134,37coins,Bitcoin,525000,1,North America,2,2014-01-01
239,135,37mhealth,Mobile,1629549,1,Asia,1,2013-01-01
242,136,382 Communications,Mobile,1600000,1,North America,1,2010-01-01
244,137,3BaysOver,Networking|Online Travel|Travel,1719583,1,Europe,2,2011-08-01
245,138,3Cinteractive,Business Services|Marketing Automation|Mobile,6000000,1,North America,1,2005-01-01
246,139,3C Plus,Cloud Computing|Communications Hardware|Contact Centers|Customer Service|Internet|Software|VoIP|Web Development,75000,1,South America,1,2013-01-10
247,140,3CI,Biotechnology,133620,1,Europe,1,2008-01-01
248,141,3Claps,Babies|Big Data Analytics|E-Commerce|Fashion|Kids,35000,1,North America,1,2015-02-01
249,142,3ClickEMR Corporation,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,500000,0,North America,2,2010-06-23
250,143,3CLogic,Customer Service|Sales and Marketing|Software|Telephony,9311190,1,North America,4,2005-01-01
251,144,XDN/3Crowd Technologies,Enterprise Software,7289000,1,North America,3,2010-01-01
252,145,3D-4U,3D|3D Technology|Events,750000,1,North America,1,2012-01-01
253,146,3D Biomatrix,Biotechnology,1465000,1,North America,2,2010-01-01
256,147,3D Data,3D Technology|Sensors,500000,1,North America,2,2013-01-01
259,148,3D FUTURE VISION II,Games,503000,0,North America,2,2011-01-01
260,149,3D HEIGHTS,Photography|Video,350000,1,North America,1,2013-02-18
261,150,3D Hubs,3D Printing|Collaborative Consumption|Local|Marketplaces,4500000,1,Europe,2,2013-04-01
262,151,3D Industri.es,3D|Curated Web|Manufacturing|Search|Supply Chain Management|Visualization,1200000,1,Europe,2,2012-01-01
264,152,"3D Operations, Inc.",3D Printing|Health and Wellness|Health Care,7500,1,North America,1,2014-06-18
265,153,3D Product Imaging,3D|3D Technology|E-Commerce|Internet|Online Shopping,240000,1,North America,2,2013-01-01
266,154,3D Robotics,Drones|Manufacturing,99000000,1,North America,4,2009-01-01
268,155,3D Sound Labs,Hardware + Software,1168005,1,Europe,1,2014-01-01
269,156,3D Sports Technology,Software,909940,1,North America,3,2010-01-01
270,157,3D Systems,Software,169500000,2,North America,3,1986-01-01
271,158,3d Vision Systems,Hardware + Software,150000,1,North America,1,2009-01-01
272,159,3D4Medical.com,Health Care,16399999,1,Europe,1,2004-01-01
273,160,3DBin,E-Commerce,400000,1,North America,1,2009-02-06
275,161,3dCart Shopping Cart Software,E-Commerce,1250000,1,North America,1,1997-05-01
277,162,3Derm Systems,3D|Medical|Physicians,1880000,1,North America,4,2012-01-01
278,163,3Diligent,3D Printing|Manufacturing,1150000,1,North America,2,2014-07-23
283,164,3DiVi Company,3D|Computer Vision|Kinect|Robotics|Software,2670000,1,Europe,2,2011-04-01
284,165,3DLT,3D Printing|Retail|Technology,530000,1,North America,1,2012-12-01
285,166,3Dmena,3D Printing|3D Technology|Printing,30000,1,Asia,1,2014-08-03
287,167,3DPhotoWorks,Printing,3000,1,North America,1,2011-01-01
293,168,3DSoC,3D|Mobile,2065000,1,Asia,2,2006-06-01
294,169,3DT,Finance|Software|Venture Capital,140000,1,North America,1,2014-02-01
296,170,3FLOZ,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,1387500,1,North America,2,2009-11-01
298,171,3G Multimedia,Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming,1700000,1,Europe,2,2009-09-15
299,172,Nimble VR,Software,2249999,1,North America,2,2012-01-01
300,173,3Guppies,Music,20000000,1,North America,1,2003-01-01
301,174,3GV8 International Inc,Mobile,746185,1,Asia,2,2005-07-01
302,175,3i Systems,Semiconductors,13708150,0,Asia,3,2006-11-01
304,176,3Jam,Messaging|SMS,4000000,1,North America,1,2005-01-01
306,177,3Leaf,Web Hosting,65000000,1,North America,3,2004-06-01
308,178,3nder,iOS|Location Based Services|Mobile|Online Dating|Social Media,500000,1,Europe,2,2014-02-18
310,179,3PAR,Cloud Data Services|Services|Software,148000000,1,North America,3,1999-01-01
311,180,3Pillar Global,Consulting|Software,25920000,1,North America,4,2006-08-01
313,181,3Play Media,Software,1011601,1,North America,3,2007-01-01
317,182,3rd Planet,Curated Web|Tourism|Travel,1500000,1,Asia,2,2010-05-23
319,183,3ROAM,Mobile,1394250,1,Europe,1,2005-01-01
320,184,3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,5000000,1,North America,2,2007-12-01
321,185,3Scan,Biotechnology,7063012,1,North America,4,2011-01-01
322,186,3seventy,App Marketing|Software,2000000,1,North America,1,2008-01-01
323,187,3SI Security Systems,Physical Security|Security,13000000,1,North America,1,1971-01-01
326,188,3sun,Clean Technology,15152514,1,Europe,1,2007-01-01
327,189,3TEN8,Software,1670000,1,North America,1,2013-08-15
328,190,3TIER,Clean Technology,15000000,1,North America,3,1999-01-01
329,191,3Touch,Software,272000,0,Europe,1,2003-01-01
330,192,3V Transaction Services,Coupons|Online Shopping|Payments|Retail Technology,50958896,1,Europe,2,2004-01-01
331,193,3VR,Security,64567194,1,North America,7,2002-01-01
333,194,3X Systems,Flash Storage|Security,3393925,1,North America,2,2007-11-01
339,195,4-Tell,E-Commerce,2374979,1,North America,6,2009-04-01
340,196,4 the stars,Networking|Web Hosting,1000,1,Africa,1,2013-07-12
343,197,405Labs,Machine Learning|Network Security,81000,1,North America,1,2014-01-01
344,198,40billion.com,Crowdfunding|Entrepreneur|Finance|FinTech|Networking|Peer-to-Peer|Social Media|Venture Capital,1050000,1,North America,3,2008-01-23
345,199,410 Labs,Messaging,750000,1,North America,1,2010-01-01
346,200,41st Parameter,Security,38064570,1,North America,4,2004-01-01
348,201,422 Group,Software,1000000,1,North America,1,2004-01-01
349,202,Loctronix,Software,1000000,1,North America,1,2006-01-01
350,203,42Floors,Commercial Real Estate|Real Estate,17400000,1,North America,4,2011-01-01
356,204,44LAB5,Creative|Creative Industries|Databases,450000,1,North America,1,2015-01-05
357,205,46elks,Internet|Telecommunications,485841,1,Europe,2,2011-04-01
358,206,480 Biomedical,Biotechnology,49656999,1,North America,5,2011-01-01
360,207,490 Entertainment,Entertainment|Games,450000,1,North America,1,1991-05-01
363,208,4Cable TV,Clean Technology,20900,1,North America,1,2005-01-01
365,209,4D Molecular Therapeutics,Biotechnology,6999995,1,North America,1,2013-01-01
366,210,4Deep,Biotechnology,500000,1,North America,1,2008-01-01
367,211,4DK Technologies,Mobile,3378975,1,North America,1,2005-01-01
371,212,4Home,Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless,9416354,1,North America,6,2006-01-01
372,213,4INFO,Ad Targeting|Big Data Analytics|Mobile Advertising,320288000,1,North America,8,2004-09-08
376,214,4moms,Hardware + Software,60000000,1,North America,5,2005-01-01
378,215,4PSA,Cloud Computing|Messaging|Telephony|Unifed Communications,6500000,1,Europe,3,2002-02-18
379,216,4Runners Entertainment,Games,100000,1,Europe,1,2014-10-08
380,217,4s91.com,Mobile,10000000,1,Asia,1,2011-03-01
384,218,4Soils,Apps|Education|Kids|Religion,50000,1,North America,1,2012-01-01
385,219,4Tech,Biotechnology,7000000,1,North America,1,2011-01-01
387,220,4th aspect,Advertising|Software,1121078,1,Europe,4,2010-03-10
391,221,4URSPACE,Real Estate|Retail|Service Providers,50000,1,North America,1,2013-01-24
392,222,4vets,Pets,762500,1,South America,1,2013-08-01
394,223,4x4 Aviation,Aerospace,95445,1,Europe,1,2013-01-01
396,224,5 examples,Software,250000,1,North America,1,2004-01-01
399,225,ChartRequest,Software,740000,1,North America,2,2012-01-01
401,226,5 Star Mobile,Consumer Electronics|Mobile Devices,180000,1,North America,1,2013-07-23
407,227,500Friends,E-Commerce|Enterprise Software|Loyalty Programs|Social Media,12900000,1,North America,6,2010-01-01
409,228,500px,Apps|Internet|Photography|Promotional|Sales and Marketing,22325000,1,North America,7,2009-10-01
412,229,51.com,Software,27000000,1,Asia,3,2005-01-01
415,230,5151tuan,Real Estate,2928257,1,Asia,1,2009-01-01
416,231,5173.com,E-Commerce,9300000,1,Asia,3,2002-11-01
423,232,51Talk,Education,65100000,1,Asia,4,2011-01-01
425,233,51wan,Games,1500000,1,Asia,2,2007-08-01
431,234,52masterworks,Art|Creative|Creative Industries,234705,1,Europe,3,2013-11-12
434,235,55tuan.com,E-Commerce,200000000,1,Asia,2,2010-03-15
435,236,56.com,Photography,30000000,1,Asia,2,2005-04-01
436,237,58.com,Curated Web|Internet|Software,876780000,2,Asia,6,2005-01-01
441,238,5app,Mobile|Software|Web Design|Web Development,5100000,1,Europe,1,2011-01-01
442,239,5BARz International,Mobile|Technology|Wireless,6100000,2,North America,2,2008-01-01
446,240,5gig,Music|Ticketing|Web Development,368750,1,Europe,1,2007-12-01
450,241,5min Media,Education|Games|Video,12800000,1,North America,3,2007-01-01
451,242,5minutes,Art|Curated Web|Photography|Social Media,15873,1,Europe,1,2011-03-19
453,243,5o9,Software,50000,1,North America,1,2006-01-01
454,244,5Rocks,Games,3987693,1,Asia,2,2013-06-18
456,245,5th Avenue Media,Advertising|Digital Media|Distribution|Social Media,250000,1,North America,1,2012-07-04
457,246,5th Finger,Mobile,7000000,1,North America,1,2008-01-01
458,247,5th Planet Games,Games|Mobile|Mobile Games|Online Gaming,3000000,1,North America,1,2009-01-01
459,248,5to1,Advertising|Internet|Internet Marketing,17129760,1,North America,4,2009-01-01
461,249,60mo,Accounting|Business Development|Finance|Software|Web Development,1300000,1,Europe,3,2009-06-01
462,250,64 Pixels,Browser Extensions|Curated Web|Social Media,100000,1,North America,1,2010-10-01
463,251,640 Labs,Software,3050000,1,North America,3,2013-01-01
466,252,6connect,Web Hosting,3019139,1,North America,2,2009-01-01
467,253,6Qube,Information Services|Information Technology|Internet Marketing|SEO,100000,1,North America,1,2009-01-01
471,254,6fusion,Enterprise Software,37143865,1,North America,5,2008-01-01
472,255,6N Silicon,Concentrated Solar Power|Manufacturing|Solar,5714285,1,North America,1,2006-01-01
474,256,6renyou.com,Mobile,1000000,1,Asia,2,2013-06-01
477,257,6sense,B2B|Predictive Analytics|Sales and Marketing,32000000,1,North America,3,2013-01-01
478,258,6SensorLabs,Health and Wellness|Specialty Foods,8000000,1,North America,2,2013-10-01
480,259,6th Sense Analytics,Software,6700000,1,North America,2,2004-01-01
481,260,6th Wave Innovations Corporation,Nanotechnology,2569720,1,North America,2,2013-07-03
482,261,6Tribes,Social Network Media,1556687,1,Europe,3,2014-01-01
483,262,6Wunderkinder / Wunderlist,Android|Apps|Cloud Computing|Collaboration|Email|Finance|Home & Garden|Internet|iOS|iPad|iPhone|Mac|Productivity Software|Software|Synchronization|Task Management|Web Development,23857750,1,Europe,5,2010-09-01
484,263,7 Billion People,Analytics|E-Commerce|Software,6528902,0,North America,3,2006-01-01
488,264,7 Oaks Pharmaceutical,Biotechnology,1613014,1,North America,1,1997-01-01
490,265,700Bike,Bicycles|Communities,15000000,1,Asia,1,2012-01-01
491,266,71lbs,Analytics|Network Security|Shipping|Small and Medium Businesses|Startups,2450000,1,North America,5,2011-03-03
492,267,720°,Analytics|Health and Wellness|Predictive Analytics,190035,1,Europe,1,2012-01-01
493,268,72798.com,E-Commerce,3107198,1,Asia,1,2011-06-03
494,269,Shoppable,Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software,1500000,1,North America,2,2011-11-01
496,270,77 Pieces,Curated Web,650000,0,Oceania,1,2010-05-25
497,271,777 Davis,Technology,2875000,1,North America,1,2011-01-01
498,272,79 Group,Manufacturing,1500000,1,North America,1,2012-04-01
499,273,7AC Technologies,Clean Technology,16036000,1,North America,6,2009-01-01
500,274,7billionideas,Social Media,47570,1,Europe,1,2011-01-01
501,275,7digital,Content Creators|Content Delivery|Licensing|Music|Music Services|Technology,20068328,1,Europe,4,2004-01-01
504,276,7k7k.com,Games,1136548,1,Asia,2,2003-01-01
505,277,7mb Technologies,Software,1017470,1,North America,3,2013-01-01
506,278,7Park Data,Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS,3000000,1,North America,1,2012-01-01
507,279,7signal Solutions,Web Hosting,9850000,1,North America,4,2006-01-01
508,280,7Summits,Brand Marketing|Communities|Consulting|Semantic Search|SEO,600000,1,North America,3,2009-04-01
510,281,7write,Publishing,269260,1,Europe,2,2013-03-01
512,282,8 Inc.,Design|Internet|Shared Services,4500000,1,North America,2,2013-03-01
513,283,8 Securities,Finance Technology|FinTech|Mobile|Personal Finance|Technology|Wealth Management,17000000,1,Asia,2,2012-05-21
518,284,800razors,E-Commerce,100000,1,North America,1,2012-01-01
521,285,80th Street Residence FACC Fund I,Health and Wellness,5100000,1,North America,1,2011-01-01
522,286,818 Sports & Entertainment,Digital Entertainment|Entertainment|Sports,27000000,1,North America,2,2012-01-01
529,287,8bit,Advertising|Content Discovery,140000,1,Europe,2,2013-02-01
533,288,8fit - Fitness for the rest of us,Exercise|Fitness|Tracking,2730000,1,North America,3,2014-03-01
537,289,8packs,Sports|Technology,79501,1,Asia,2,2014-02-02
539,290,8tracks Radio,Music,5279980,1,North America,3,2008-08-08
540,291,8Trip,Travel,24600000,1,Asia,1,2011-01-01
541,292,8villages,Analytics|Apps|Big Data|E-Commerce|Education|Enterprise Software|Internet of Things|Media|Mobile|Payments|SaaS|Social Media,150000,1,Asia,1,2013-11-28
543,293,8x8 Inc,Contact Centers|Telecommunications|Unifed Communications|Video Conferencing,126000000,2,North America,1,1987-01-01
544,294,9+ Program,Consulting,4500000,1,North America,2,2013-01-01
545,295,908 Devices,Manufacturing,29300000,1,North America,4,2012-01-01
547,296,90min,Media|News|Publishing|Soccer|Sports,38800000,1,Europe,3,2011-01-01
548,297,90sec Technologies,Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings,100000,1,Asia,1,2013-06-30
551,298,91 Wireless,Mobile,30000000,1,Asia,1,2010-09-01
554,299,915 Labs LLC,Food Processing,3000000,1,North America,2,2014-01-01
559,300,91Mobiles,Mobile,1000000,1,Asia,1,2010-01-01
560,301,Applauze,Mobile|Publishing,10450000,1,North America,3,2010-11-01
561,302,99.co,Local Businesses,2160000,1,Asia,2,2014-01-08
562,303,99 Fahrenheit,Finance,1380700,0,Europe,1,2011-10-01
563,304,99Bill,E-Commerce|Payments,83574271,1,Asia,5,2005-01-01
567,305,99designs,Crowdsourcing|Design|Marketplaces|Online Shopping,45000000,1,North America,2,2008-02-01
568,306,99dresses,Fashion|File Sharing,105651,0,Oceania,2,2010-01-01
570,307,99Gamers,E-Commerce|Trading|Video Games,100000,1,North America,1,2012-06-01
574,308,99motos,Apps|Logistics|Postal and Courier Services,442943,1,South America,1,2013-10-01
575,309,99Presents,E-Commerce|Social Commerce,20000,1,Asia,1,2012-03-20
576,310,99taojin.com,Manufacturing,7575757,1,Asia,1,2009-01-01
577,311,99Taxis,Android|iOS|Mobile|Mobile Payments|SaaS|Taxis,25000000,1,South America,3,2013-03-26
578,312,99tests,Software,210000,1,Asia,3,2011-02-14
580,313,9car Technology LLC,Automotive|Cars|E-Commerce,80000,0,Asia,2,2009-11-18
582,314,9DIAMOND,E-Commerce,9600000,1,Asia,2,2005-03-01
583,315,9facts,SEO|Social Media,70000,0,Europe,1,2011-05-01
585,316,9Flava,Advertising,1432051,1,Asia,3,2011-10-01
586,317,9GAG,Social Media,2800000,1,Asia,2,2008-01-01
587,318,9Lenses,Business Analytics|Enterprise Software|SaaS|Software,7200000,1,North America,3,2011-01-01
588,319,9Mile Labs,Software|Technology,900000,1,North America,1,2013-01-01
590,320,9SLIDES,Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training,925000,1,North America,2,2010-06-01
591,321,9Star Research,Software,435400,1,North America,1,2002-01-01
595,322,A Plus,Digital Media|News|Social Media,3500000,1,North America,1,2013-01-01
596,323,A-76 Technologies,Chemicals,2500000,1,North America,1,2014-01-01
602,324,A Bit Lucky,Games|Social Games,10312103,0,North America,2,2009-10-01
603,325,A Class Limos,Limousines,45000,1,North America,1,2011-11-11
608,326,A Dance for Me,Media|News|Photo Sharing|Video,1090000,1,North America,1,2011-07-31
610,327,A Family First Community Services,Health and Wellness,500000,1,North America,1,2008-01-01
615,328,A&H Software House,Security,1500000,1,North America,1,2005-01-01
617,329,A la Mobile,Mobile,14300000,1,North America,3,2005-06-01
621,330,A LITTLE WORLD,Finance,6410000,1,Asia,1,2000-03-02
625,331,A Place for Rover,Internet,15999994,1,North America,1,2011-01-01
627,332,A-Power Energy Generation Systems,Clean Technology,10200000,0,Asia,1,2003-01-01
